ID,Author,Content Length,Content
558764381807312898,Karaoke Bot for /r/teenagers,0,
558764409581731847,Hide ur kids_ im in town,24,!play horses in the back
558764422399525041,Karaoke Bot for /r/teenagers,0,
558764445334241322,BirkIsak,5,!skip
558764446982602762,Karaoke Bot for /r/teenagers,0,
558764451386490917,C0racle,25,!play evisceration plague
558764456876834846,coolkid324,11,!play gumma
558764457736667136,Hide ur kids_ im in town,5,!skip
558764458227269652,Karaoke Bot for /r/teenagers,0,
558764460635062282,Karaoke Bot for /r/teenagers,85,Now playing in `Karaoke`: `5. Fem små aber - Sangskattekisten` added by `ZhaoZentral`
558764469036122157,Brostekake,17,!play megalovania
558764474627260416,coolkid324,11,!play gummo
558764478397808661,Karaoke Bot for /r/teenagers,0,
558764481539211264,Karaoke Bot for /r/teenagers,0,
558764483162669066,coolkid324,5,!skip
558764483778969611,Karaoke Bot for /r/teenagers,0,
558764485800886274,Karaoke Bot for /r/teenagers,0,
558764504196841537,Karaoke Bot for /r/teenagers,0,
558764521267658758,C0racle,6,!queue
558764521360195614,Karaoke Bot for /r/teenagers,0,
558764565748514846,Brostekake,5,!skip
558764566142648345,Karaoke Bot for /r/teenagers,0,
558764587068030995,BirkIsak,5,!SKIP
558764587571478530,Karaoke Bot for /r/teenagers,0,
558764589068582939,Karaoke Bot for /r/teenagers,74,Now playing in `Karaoke`: `Lisa fikk en hjertestans` added by `Brostekake`
558764616897789972,coolkid324,29,!play National Anthem of USSR
558764633888915476,Karaoke Bot for /r/teenagers,0,
558764645729697793,coolkid324,5,!skip
558764645851201536,C0racle,18,!play små grodorna
558764645972967425,Karaoke Bot for /r/teenagers,0,
558764655955148820,Karaoke Bot for /r/teenagers,0,
558764703279742997,coolkid324,29,!play National Anthem of USSR
558764705796194308,coolkid324,29,!play National Anthem of USSR
558764708128096256,coolkid324,29,!play National Anthem of USSR
558764710015795200,coolkid324,29,!play National Anthem of USSR
558764717896630302,Karaoke Bot for /r/teenagers,0,
558764731473723442,Karaoke Bot for /r/teenagers,0,
558764745801465871,Karaoke Bot for /r/teenagers,0,
558764758711664640,Karaoke Bot for /r/teenagers,0,
558764766185783311,Hide ur kids_ im in town,5,!skip
558764767641075742,Karaoke Bot for /r/teenagers,0,
558764793905807371,Brostekake,5,!skip
558764794409254943,Karaoke Bot for /r/teenagers,0,
558764796216868894,Karaoke Bot for /r/teenagers,60,Now playing in `Karaoke`: `Yeet vines` added by `Brostekake`
558764805314445329,coolkid324,5,!skip
558764805746589724,Karaoke Bot for /r/teenagers,0,
558764818824298507,coolkid324,5,!skip
558764819663028226,Karaoke Bot for /r/teenagers,0,
558764823857332283,coolkid324,29,!play National Anthem of USSR
558764829549002761,Brostekake,5,!skip
558764829821894657,Karaoke Bot for /r/teenagers,0,
558764837895667714,Karaoke Bot for /r/teenagers,0,
558764863946752021,coolkid324,5,!ksip
558764878417100813,Hide ur kids_ im in town,5,!skip
558764878542798875,Karaoke Bot for /r/teenagers,0,
558764879176138774,Brostekake,30,!play USSR anthem mega earrape
558764880216195114,Karaoke Bot for /r/teenagers,133,Now playing in `Karaoke`: `Lil Nas X - Old Town Road (I Got The Horses In The Back) [Visualizer]` added by `Hide ur kids_ im in town`
558764883458654219,coolkid324,29,!play National Anthem of USSR
558764893902209055,Karaoke Bot for /r/teenagers,0,
558764900076355594,Karaoke Bot for /r/teenagers,0,
558764913078566912,Brostekake,5,!skip
558764913535877160,Karaoke Bot for /r/teenagers,0,
558764920083054604,Brostekake,5,!skip
558764920599085142,Karaoke Bot for /r/teenagers,0,
558764928173998100,coolkid324,5,!skip
558764928081854466,Karaoke Bot for /r/teenagers,0,
558764966648217659,coolkid324,10,dont skip]
558764983555719169,coolkid324,13,dis good song
558764990455087128,C0racle,6,!queue
558764991356862474,Karaoke Bot for /r/teenagers,0,
558764996104814631,C0racle,1,F
558764997707169802,ZhaoZentral,1,F
558765003168284722,Brostekake,1,F
558765013150466058,coolkid324,1,F
558765021442736158,Tatsumaki,33,🆙  |  **ZhaoZentral leveled up!**
558765023279841290,Hide ur kids_ im in town,1,f
558765041101570058,BirkIsak,1,f
558765048617631814,ZhaoZentral,3,UwU
558765058801401889,Brostekake,3,OwO
558765063511605248,C0racle,3,UwU
558765064467775499,Hide ur kids_ im in town,3,OwO
558765075712835605,coolkid324,3,OwO
558765077252145163,BirkIsak,3,OwO
558765092221747200,kermitjoinsthekremlin,3,ewe
558765097019899904,C0racle,3,OwO
558765107245482035,Brostekake,7,OwO>UwU
558765107706986496,Hide ur kids_ im in town,3,dwb
558765108818608140,ZhaoZentral,24,Thwank Ywou for lewel up
558765111859478536,C0racle,4,UUUU
558765146634321933,ZhaoZentral,3,OwO
558765170999164929,ZhaoZentral,7,OwwwwwO
558765176455823383,C0racle,4,OUUO
558765185154809896,coolkid324,3,OwO
558765245561044995,kermitjoinsthekremlin,9,._______.
558765276418539520,ZhaoZentral,3,owo
558765286745047190,ZhaoZentral,3,OwO
558765318843924481,ZhaoZentral,3,ówò
558765321620684810,Brostekake,6,!Queue
558765322048503826,Karaoke Bot for /r/teenagers,0,
558765355653136447,Karaoke Bot for /r/teenagers,101,Now playing in `Karaoke`: `Cannibal Corpse "Evisceration Plague" (OFFICIAL VIDEO)` added by `C0racle`
558765364809302017,ZhaoZentral,3,òwó
558765373529522201,Brostekake,5,!skip
558765373818667009,Karaoke Bot for /r/teenagers,0,
558765378457829386,Brostekake,3,nah
558765386590584845,BirkIsak,5,!skip
558765387416600592,Karaoke Bot for /r/teenagers,0,
558765390373715979,ZhaoZentral,4,stop
558765397369815075,Hide ur kids_ im in town,5,!skip
558765397319483423,Karaoke Bot for /r/teenagers,0,
558765398779101187,Karaoke Bot for /r/teenagers,88,Now playing in `Karaoke`: `6IX9INE - GUMMO (OFFICIAL MUSIC VIDEO)` added by `coolkid324`
558765417040969755,ZhaoZentral,5,!skip
558765417749938191,Karaoke Bot for /r/teenagers,0,
558765419616534548,Brostekake,5,!skip
558765419985502241,Karaoke Bot for /r/teenagers,0,
558765426268569607,coolkid324,29,!play All the Single Furries!
558765428311195670,Brostekake,12,we need ussr
558765428973895750,coolkid324,29,!play All the Single Furries!
558765430156558347,ZhaoZentral,5,!skip
558765430114615299,Karaoke Bot for /r/teenagers,0,
558765431368974346,coolkid324,29,!play All the Single Furries!
558765432585060362,coolkid324,29,!play All the Single Furries!
558765434019643392,coolkid324,29,!play All the Single Furries!
558765434678149134,Dyno,56,<@505385361791254538> You're sending messages too quick!
558765438268342275,Karaoke Bot for /r/teenagers,0,
558765446699024418,BirkIsak,30,!play IceJJFish - On The Floor
558765448917942274,Karaoke Bot for /r/teenagers,0,
558765455930818571,Brostekake,5,!skip
558765456320626879,Hide ur kids_ im in town,16,!play sucko mode
558765456358506507,Karaoke Bot for /r/teenagers,0,
558765460745617446,Karaoke Bot for /r/teenagers,0,
558765469885005836,Karaoke Bot for /r/teenagers,0,
558765473009762324,Karaoke Bot for /r/teenagers,0,
558765473739833354,BirkIsak,5,!skip
558765473794097192,Karaoke Bot for /r/teenagers,0,
558765474943336459,Karaoke Bot for /r/teenagers,88,Now playing in `Karaoke`: `6IX9INE - GUMMO (OFFICIAL MUSIC VIDEO)` added by `coolkid324`
558765476260347943,Karaoke Bot for /r/teenagers,0,
558765488042278937,BirkIsak,5,!skip
558765488038084620,Karaoke Bot for /r/teenagers,0,
558765490441551895,Brostekake,5,!skip
558765491968016386,Hide ur kids_ im in town,16,!play dicko mode
558765501338222602,Karaoke Bot for /r/teenagers,0,
558765501640343566,Karaoke Bot for /r/teenagers,0,
558765507126231041,Karaoke Bot for /r/teenagers,0,
558765519436644373,coolkid324,5,!skip
558765520002875402,Karaoke Bot for /r/teenagers,0,
558765528638816256,Brostekake,26,!play EXTREME USSR EARRAPE
558765529142263808,BirkIsak,5,!skip
